"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-20T00:17:23","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.558","9543.36","9760.37","1662","30283"
"2025-08-20T00:17:24","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.934","9542.57","9758.98","1662","30283"
"2025-08-20T00:17:25","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.893","9543.62","9758.93","1662","30268"
"2025-08-20T00:17:26","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.885","9547.11","9757.7","1662","30269"
"2025-08-20T00:17:27","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.88","9543.85","9754.54","1660","30262"
"2025-08-20T00:17:28","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.95","9533.84","9742.6","1660","30262"
"2025-08-20T00:17:29","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.876","9527.7","9701.84","1660","30262"
"2025-08-20T00:17:30","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.854","9537.32","9708.02","1665","30277"
"2025-08-20T00:17:31","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.89","9535.34","9705.13","1666","30277"
"2025-08-20T00:17:32","chrome","560;3884;4300;4964;12540;12692;13228;13292;13572;13676;14244;14488;14672;15788;15908;16464;18112;18568;20744;21168;21572;21848;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.893","9536.12","9705.54","1666","30277"
