"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-20T00:01:30","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;27964;28100;28520;28764;29368;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.475","9907.41","9672.17","1717","31275"
"2025-08-20T00:01:31","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;27964;28100;28520;28764;29368;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.922","9897.03","9661.89","1717","31271"
"2025-08-20T00:01:32","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;27964;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.931","9939.1","9687.27","1729","31598"
"2025-08-20T00:01:33","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;27964;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.874","9929.8","9678.25","1729","31588"
"2025-08-20T00:01:34","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.908","9888.27","9613.83","1717","31251"
"2025-08-20T00:01:35","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.944","9874.29","9582.59","1717","31265"
"2025-08-20T00:01:36","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.924","9888.94","9678.54","1717","31273"
"2025-08-20T00:01:37","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.883","9894.53","9705.87","1717","31276"
"2025-08-20T00:01:38","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.913","9888.83","9699.26","1717","31271"
"2025-08-20T00:01:39","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.919","9879.06","9688.16","1717","31271"
